;Rank;Paritdo;Puntos;Score;Minutos_Jugados;Rebotes;Tipo;Ano
1;2;1;0;-1.1;6:22;1;Regular;1997
2;3;2;1;-1.1;3:16;0;Regular;1997
3;4;3;5;0.7;6:49;0;Regular;1997
4;5;4;10;5.2;17:15;3;Regular;1997
5;6;5;2;1.9;8:25;3;Regular;1997
6;7;6;2;-0.7;5:03;1;Regular;1997
7;8;7;6;5.6;6:06;0;Regular;1997
8;9;8;4;-1.4;7:01;0;Regular;1997
9;10;9;16;10.4;14:29;2;Regular;1997
10;11;10;3;0.7;7:47;2;Regular;1997
11;12;11;11;8.4;20:32;1;Regular;1997
12;15;12;12;4.2;20:52;1;Regular;1997
13;16;13;2;-2.7;19:33;4;Regular;1997
14;17;14;1;0.9;6:35;1;Regular;1997
15;18;15;2;0.3;2:41;1;Regular;1997
16;20;16;8;5.1;13:24;3;Regular;1997
17;22;17;11;8.2;22:02;3;Regular;1997
18;23;18;0;0.3;6:07;1;Regular;1997
19;26;19;5;2.1;9:48;1;Regular;1997
20;27;20;0;2.1;7:49;3;Regular;1997
21;28;21;5;0.9;11:38;1;Regular;1997
22;29;22;0;-1.5;5:12;1;Regular;1997
23;31;23;0;-1.6;6:31;1;Regular;1997
24;32;24;4;4.2;10:29;1;Regular;1997
25;33;25;21;22.0;22:16;5;Regular;1997
26;34;26;16;14.3;28:48:00;5;Regular;1997
27;35;27;8;3.3;23:12;2;Regular;1997
28;36;28;9;3.1;21:32;1;Regular;1997
29;37;29;2;-0.4;7:46;3;Regular;1997
30;38;30;2;-1.2;5:34;0;Regular;1997
31;40;31;21;15.8;32:20:00;2;Regular;1997
32;41;32;6;-0.8;13:24;2;Regular;1997
33;42;33;17;16.0;24:54:00;6;Regular;1997
34;43;34;7;3.4;17:02;1;Regular;1997
35;44;35;12;7.9;31:45:00;3;Regular;1997
36;45;36;19;14.2;29:51:00;4;Regular;1997
37;46;37;13;9.5;24:00:00;3;Regular;1997
38;47;38;6;0.3;22:32;3;Regular;1997
39;48;39;5;2.9;12:40;3;Regular;1997
40;49;40;2;1.2;11:02;2;Regular;1997
41;50;41;9;5.9;20:00;2;Regular;1997
42;51;42;0;-4.6;12:55;1;Regular;1997
43;52;43;10;6.1;23:27;2;Regular;1997
44;53;44;2;0.0;5:15;1;Regular;1997
45;54;45;0;-1.5;3:47;1;Regular;1997
46;57;46;0;-0.7;1:23;0;Regular;1997
47;58;47;10;5.3;21:28;1;Regular;1997
48;59;48;0;-0.4;6:18;2;Regular;1997
49;60;49;8;2.8;17:23;1;Regular;1997
