Año;Import;Texto;Texto2
1997;1;1;position in Slum Dunk contest
1997;2;31;points on the Rookie All Star
1998;1;1;All Star of his carreer
1998;2;Record;Youngest player to play in the First Team in an All Star
1999;1;1;All-NBA Third Team
1999;2;1;vez 3er mejor quinteto de la NBA
2000;1;1;time NBA Champion
2000;2;1;vez mejor quinteto defensivo de la NBA
2001;1;2;time NBA Champion
2001;2;Record;83.3% Field Goal Pertentage on a match (+5 shots).
2002;1;3;time NBA Champion
2002;2;1;All-NBA First Team
2003;1;2;All-NBA First Team
2003;2;40;points or more in 9 straight matches
2004;1;3;All-NBA First Team
2004;2;6;time All Star
2005;1;1;player scoring more points that the rival (in 3rd quarter)
2005;2;2;NBA's scorer of the season
2006;1;81;points in a single match
2006;2;2;time NBA Scoring Title
2007;1;2;ALL Star MVP
2007;2;2;time NBA Scoring Title
2008;1;1;time Olympic Games Champion
2008;2;MVP;of the NBA regular season 
2009;1;4;times NBA Champion
2009;2;MVP;of the NBA finals
2010;1;5;times NBA Champion
2010;2;MVP;of the NBA finals
2011;1;13;straight All Star Games
2011;2;7;player on scoring 25k points, 5k rebounds & 5k assists
2012;1;2;time Olympic Games Champion
2012;2;6;imes with 4 straight matches over 40 points
2013;1;14;straight All Star Games
2013;2;11;times NBA First Team
2014;1;Record;First player on the NBA scoring 30K points and giving 6k assists
2014;2;3;times NBA Scoring Title
2015;1;29 de Nov;Announces his retirement at the end of the season
2015;2;1;letter that would become in a movie that would won an Oscar
2016;1;60;points on his last match
2016;2;Retirement;of an Star
All Years;1;5;times NBA Champion
All Years;2;4;most scoring player of the NBA history
